통신망,데이터구분,요금제명,가격,할인기간,할인후가격,데이터(GB),QoS(Mbps),통화(분),문자(건)
LG,LTE,시니어 (2GB+/통화기본),6900,평생할인,19000,2,4,기본제공,기본제공
LG,5G,5G (14GB+/통화기본),33010,평생할인,42600,14,1,기본제공,기본제공
LG,5G,5G (31GB+/통화기본),36650,평생할인,48300,31,1,기본제공,기본제공
LG,5G,5G (4GB/통화기본),7800,평생할인,25300,4,,기본제공,기본제공
LG,5G,5G (5GB/200분),7900,평생할인,24200,5,,200,100
LG,5G,5G (5GB/통화기본),9900,평생할인,27700,5,,기본제공,기본제공
LG,LTE,LTE 스페셜 [더알뜰플랜2],32990,평생할인,35190,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,다성비 (1GB+/통화기본),10900,평생할인,26300,1,1,기본제공,기본제공
LG,LTE,데이터만 10GB,9900,평생할인,11000,10,,미제공,미제공
LG,LTE,자급제폰케어 (100GB+/통화기본),39490,평생할인,47900,100,5,기본제공,기본제공
LG,LTE,티머니 K-패스 (100GB+/통화기본),39200,평생할인,49100,100,5,기본제공,기본제공
LG,LTE,티머니 K-패스(7GB+/통화기본),16900,평생할인,26800,7,1,기본제공,기본제공
LG,LTE,10%적립 (1GB+/통화기본),10300,평생할인,,1,1,기본제공,기본제공
LG,LTE,GS25 (150GB+/통화기본),40100,평생할인,64000,150(일 5GB),5,기본제공,기본제공
LG,LTE,GS25 (71GB+/통화기본),34900,평생할인,58790,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,LTE (2.5GB+/200분),9500,평생할인,22500,2.5,1,200,100
LG,LTE,다성비 (71GB+/통화기본),33990,평생할인,50390,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,빽다방 100잔 5G (10GB/통화기본),14000,평생할인,36000,10,,기본제공,기본제공
LG,LTE,시니어 (4GB+/통화기본),8900,평생할인,22100,4,4,기본제공,기본제공
LG,LTE,이십세 (1GB+/통화기본),9900,평생할인,25850,1,1,기본제공,기본제공
LG,LTE,자급제폰케어 (71GB+/통화기본),34300,평생할인,49390,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,10%적립 (10GB+/500분),18500,평생할인,,10,1,500,500
LG,LTE,K-패스 (1GB+/통화기본),10900,평생할인,26300,1,1,기본제공,기본제공
LG,5G,LTE (15GB+/180분),26900,평생할인,48900,15,3,180,100
LG,5G,LTE (4.5GB+/통화기본) [더알뜰플랜],12800,평생할인,15000,4.5,1,기본제공,기본제공
LG,5G,LTE (5GB+/200분),12500,평생할인,28200,5,1,200,100
LG,5G,LTE (5GB/300분),10120,평생할인,27500,5,,300,100
LG,LTE,YOUNG (6GB/통화기본),10500,평생할인,36000,6,,기본제공,기본제공
LG,LTE,YOUNG (9GB/3000분),13500,평생할인,38800,9,,3000,1000
LG,5G,YOUNG 5G (3GB/통화기본),8900,평생할인,25400,3,,기본제공,기본제공
LG,LTE,다성비 (71GB+/통화기본) [매월 다이소 5천원],34890,평생할인,51290,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,빽다방 100잔 (15GB+/통화기본),22400,평생할인,49000,15,1,기본제공,기본제공
LG,LTE,빽다방 100잔 (1GB+/통화기본),11400,평생할인,26000,1,1,기본제공,기본제공
LG,LTE,이츠 (71GB+/통화기본),35500,평생할인,47400,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,10%적립 (4.5GB+/통화기본),15200,평생할인,,4.5,1,기본제공,기본제공
LG,5G,5G (15GB/300분),14400,평생할인,40000,15,,300,300
LG,5G,YOUNG (15GB+/300분),28450,평생할인,56000,15,3,300,300
LG,LTE,YOUNG (1GB+/통화기본),10900,평생할인,26300,1,1,기본제공,기본제공
LG,5G,다성비 (15GB+/100분),25900,평생할인,48300,15,3,100,100
LG,5G,다성비 (5GB+/100분),12900,평생할인,24500,5,1,100,100
LG,LTE,빽다방 100잔 (71GB+/통화기본),34500,평생할인,50000,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,빽다방 100잔 (7GB+/통화기본),17900,평생할인,40000,7,1,기본제공,기본제공
LG,5G,빽다방 100잔 5G (5GB/통화기본),12400,평생할인,28000,5,,기본제공,기본제공
LG,LTE,이츠 (100GB+/통화기본),40700,평생할인,52600,100,5,기본제공,기본제공
LG,5G,플러스알파 (4.5GB+/통화기본),15500,평생할인,38200,4.5,1,기본제공,기본제공
LG,LTE,K-패스 (100GB+/통화기본),39200,평생할인,47600,100,5,기본제공,기본제공
LG,5G,K-패스 (15GB+/통화기본),21900,평생할인,49400,15,1,기본제공,기본제공
LG,LTE,K-패스 (71GB+/통화기본),33990,평생할인,50390,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,K-패스 (7GB+/통화기본),16900,평생할인,40800,7,1,기본제공,기본제공
LG,LTE,YOUNG (100GB+/통화기본),39200,평생할인,47600,100,5,기본제공,기본제공
LG,LTE,YOUNG (71GB+/통화기본),33990,평생할인,50390,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,YOUNG 5G (50GB+/통화기본),38850,평생할인,51000,50,1,기본제공,기본제공
LG,LTE,교보문고 북 플러스알파 (100GB+/통화기본),39100,평생할인,47510,100,5,기본제공,기본제공
LG,LTE,교보문고 북 플러스알파 (10GB+/통화기본),19900,평생할인,42950,10,1,기본제공,기본제공
LG,5G,교보문고 북 플러스알파 (15GB+/통화기본),21900,평생할인,49400,15,1,기본제공,기본제공
LG,LTE,교보문고 북 플러스알파 (1GB+/통화기본),10900,평생할인,26300,1,1,기본제공,기본제공
LG,5G,교보문고 북 플러스알파 (4.5GB+/통화기본),13900,평생할인,36600,4.5,1,기본제공,기본제공
LG,LTE,교보문고 북 플러스알파 (71GB+/통화기본),33500,평생할인,49390,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,다성비 (10GB+/통화기본),19900,평생할인,42950,10,1,기본제공,기본제공
LG,LTE,이십세 (10GB+/500분),17500,평생할인,30700,10,1,500,500
LG,5G,이십세 (15GB+/300분),27450,평생할인,55000,15,3,300,300
LG,5G,이십세 (4.5GB+/통화기본),13900,평생할인,36010,4.5,1,기본제공,기본제공
LG,LTE,이십세 (7GB+/통화기본),17300,평생할인,40000,7,1,기본제공,기본제공
LG,LTE,이십세 스페셜,33900,평생할인,49390,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,자급제폰케어 (7GB+/통화기본),17200,평생할인,39800,7,1,기본제공,기본제공
